meanfreq,sd,median,Q25,Q75,IQR,sp.ent,sfm,centroid,kurt,skew,label
2.835491799075209e-20,2.4197852429223346e-19,7.418675570234197e-21,3.6620942479240644e-21,1.1896695272564286e-20,8.234601024640221e-21,7.834752783854348e-16,35267251.65211327,499.8679684508936,443.7323196451693,20.651908294049026,female
4.881086347930352e-20,3.305024265763393e-19,1.4211303442680987e-20,5.655276058354201e-21,2.357814774409396e-20,1.7922871685739756e-20,1.348693887869336e-15,20487243.56689211,499.86025726206185,386.7531355211224,18.886240734354754,female
2.5367147592876874e-20,3.381893993595234e-19,3.661713977955852e-21,2.829252412132375e-21,6.659701326703701e-21,3.830448914571326e-21,7.009200757745251e-16,39421067.020081215,499.94005424531116,486.4791056613411,22.013004707385093,female
4.117062370549191e-20,2.0947687725709737e-19,7.946338991793928e-21,2.0897801402360085e-21,2.5531984050251482e-20,2.3442203910015472e-20,1.1375863273868794e-15,24289164.24302819,499.7430991163759,218.95507455981868,13.81869659319674,female
1.0890812994065472e-20,1.9042751253490796e-19,8.3065277272250665e-22,6.395392376451569e-22,1.5309838536059715e-21,8.914446159608145e-22,3.0092424742748213e-16,91820510.68507984,499.97772206374464,493.58002784950185,22.24609906923113,female
6.508932069875856e-20,3.253827075412736e-19,1.8664927150332504e-20,1.525280573278402e-20,3.37743360794436e-20,1.8521530346659583e-20,1.798484284538584e-15,15363504.402164444,499.94064564242285,254.67552628033195,14.903021797563326,female
6.749090036575671e-20,3.012550994019692e-19,2.0360413075307016e-20,1.3423127479476801e-20,3.624805848805637e-20,2.282493100857957e-20,1.864842397829776e-15,14816813.260328524,499.8631440997077,170.60613272515073,12.413837739588068,female
2.7231458633085467e-20,2.722909216612224e-19,5.470830839816677e-21,4.386043601027743e-21,9.907553295062962e-21,5.521509694035219e-21,7.524329336246394e-16,36722235.14374834,499.9689379445756,465.9692461011712,21.353991636272504,female
2.6332396052394696e-20,2.107053714107529e-19,6.07080395605233e-21,3.408051048201119e-21,1.1628869894427085e-20,8.220818846225965e-21,7.275909462666593e-16,37976036.223313466,499.84463764476453,431.178500818894,20.2593466858732,female
5.22149211324801e-20,2.452119537190363e-19,1.52957784681273e-20,1.0611649017793564e-20,2.749214208754572e-20,1.6880493069752153e-20,1.4427515255229065e-15,19151614.72096615,499.8653411570423,212.93667249415043,13.6641200777296,female
4.7189041617913565e-20,2.9819122476591873e-19,1.2750751266240333e-20,1.0535392217244745e-20,2.2710877691698914e-20,1.2175485474454169e-20,1.3038813142404373e-15,21191361.657351043,499.9858837751185,366.71557128300543,18.27476620726211,female
1.8672535554139112e-20,2.0853401742838063e-19,3.591145426464604e-21,2.271675985891583e-21,6.144073321883793e-21,3.8723973359922094e-21,5.159411803493437e-16,53554591.757135265,499.90426535904334,476.06553909328255,21.67650789041507,female
